Order ID,Order Date,Customer ID,Segment,Region,Category,Product Name,Quantity,Discount,Sales,Profit,Ship Mode,Profit Margin %,Order Month,Order Year
ORD-01098,2025-05-30,CUST-0047,Consumer,South,Clothing,Cotton T-Shirt,2,0.05,2308.08,175.96,Express,7.62,2025-05,2025
ORD-02434,2025-11-14,CUST-0661,Corporate,East,Electronics,Bluetooth Speaker,1,0.0,5868.36,1183.09,Standard,20.16,2025-11,2025
ORD-01751,2025-10-22,CUST-0992,Consumer,South,Furniture,Bed Side Table,1,0.0,5251.59,1531.64,Express,29.17,2025-10,2025
ORD-01294,2025-06-08,CUST-0377,Consumer,West,Electronics,Wireless Mouse,1,0.0,4779.36,503.88,Standard,10.54,2025-06,2025
ORD-02545,2025-10-23,CUST-0478,Consumer,East,Electronics,Bluetooth Speaker,1,0.0,5868.36,1183.09,Standard,20.16,2025-10,2025
ORD-02689,2025-12-18,CUST-1030,Consumer,West,Office Supplies,Whiteboard Marker Set,1,0.0,162.3,47.11,Express,29.03,2025-12,2025
ORD-01907,2024-04-18,CUST-1339,Corporate,East,Office Supplies,Sticky Notes Pack,1,0.1,220.71,29.0,Standard,13.14,2024-04,2024
ORD-02910,2024-10-07,CUST-0303,Consumer,East,Electronics,Bluetooth Speaker,2,0.0,11736.72,2366.17,Standard,20.16,2024-10,2024
ORD-02973,2024-01-11,CUST-1180,Consumer,South,Furniture,Filing Cabinet,1,0.15,6545.96,1350.92,Express,20.64,2024-01,2024
ORD-01459,2025-11-19,CUST-0057,Home Office,East,Furniture,Bed Side Table,1,0.0,5251.59,1531.64,Same Day,29.17,2025-11,2025
ORD-01466,2025-11-13,CUST-0129,Corporate,South,Furniture,Recliner Sofa,1,0.0,6837.7,654.65,Standard,9.57,2025-11,2025
ORD-02077,2025-04-20,CUST-0842,Corporate,East,Office Supplies,A4 Paper Ream,1,0.0,414.45,35.7,Standard,8.61,2025-04,2025
ORD-01341,2024-05-11,CUST-0999,Consumer,East,Office Supplies,Sticky Notes Pack,1,0.0,245.23,39.58,Standard,16.14,2024-05,2024
ORD-02098,2025-10-22,CUST-0844,Consumer,North,Electronics,Smartwatch,2,0.0,3302.1,873.15,Standard,26.44,2025-10,2025
